4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5
2,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,7
2,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,7
2,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,11,11,11,7
2,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11,11,7
2,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,11,12,11,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,11,13,11,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,11,11,11,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
2,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7
3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6
