4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5
2,10,10,10,1,1,1,1,12,26,26,12,1,1,1,1,10,10,10,7
2,10,10,10,10,1,1,1,13,26,26,13,1,1,1,1,10,10,1,7
2,1,10,10,1,10,1,1,26,1,1,26,1,1,1,1,10,10,10,7
2,1,10,1,1,10,2,1,1,26,26,1,1,7,10,1,10,10,1,7
2,1,1,1,1,1,2,1,1,1,1,1,1,7,1,1,1,1,1,7
2,1,1,2,1,1,2,1,1,1,1,1,1,7,1,1,7,1,1,7
2,1,1,2,1,1,2,1,1,1,1,1,1,7,1,1,7,1,1,7
2,1,1,2,1,1,2,1,1,1,1,1,1,7,1,1,7,1,1,7
2,1,1,1,1,1,2,1,1,1,1,1,1,7,1,1,1,1,1,7
2,1,10,1,1,1,2,1,1,1,1,1,1,7,1,1,1,1,1,7
2,10,10,1,10,1,10,10,1,1,1,1,1,1,1,1,10,10,10,7
2,1,10,10,10,10,10,10,1,1,1,1,1,1,1,1,1,10,10,7
2,10,10,1,10,10,10,1,1,1,1,1,1,1,1,10,10,10,10,7
2,10,10,1,10,10,1,1,1,1,1,1,1,1,1,1,10,10,10,7
3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6
